"Metric name","Metric type","Metric unit","Metric description","NVIDIA GeForce RTX 3060 Laptop GPU"
"l1tex__t_bytes_lookup_hit","Counter","byte","# of bytes requested with tag-hit and data-hit","1"
"l1tex__t_bytes_lookup_miss","Counter","byte","# of bytes requested that missed","1"
"l1tex__t_bytes_pipe_lsu","Counter","byte","# of bytes requested for LSU pipe local/global","1"
"l1tex__t_bytes_pipe_lsu_lookup_hit","Counter","byte","# of bytes requested with tag-hit and data-hit for LSU pipe local/global","1"
"l1tex__t_bytes_pipe_lsu_lookup_miss","Counter","byte","# of bytes requested that missed for LSU pipe local/global","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_atom","Counter","byte","# of bytes requested for global atomics","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_atom_lookup_hit","Counter","byte","# of bytes requested with tag-hit and data-hit for global atomics","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_atom_lookup_miss","Counter","byte","# of bytes requested that missed for global atomics","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_ld","Counter","byte","# of bytes requested for global loads","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_ld_lookup_hit","Counter","byte","# of bytes requested with tag-hit and data-hit for global loads","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_ld_lookup_miss","Counter","byte","# of bytes requested that missed for global loads","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_red","Counter","byte","# of bytes requested for global reductions","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_red_lookup_hit","Counter","byte","# of bytes requested with tag-hit and data-hit for global reductions","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_red_lookup_miss","Counter","byte","# of bytes requested that missed for global reductions","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_st","Counter","byte","# of bytes requested for global stores","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_st_lookup_hit","Counter","byte","# of bytes requested with tag-hit and data-hit for global stores","1"
"l1tex__t_bytes_pipe_lsu_mem_global_op_st_lookup_miss","Counter","byte","# of bytes requested that missed for global stores","1"
"l1tex__t_bytes_pipe_lsu_mem_local_op_ld","Counter","byte","# of bytes requested for local loads","1"
"l1tex__t_bytes_pipe_lsu_mem_local_op_ld_lookup_hit","Counter","byte","# of bytes requested with tag-hit and data-hit for local loads","1"
"l1tex__t_bytes_pipe_lsu_mem_local_op_ld_lookup_miss","Counter","byte","# of bytes requested that missed for local loads","1"
"l1tex__t_bytes_pipe_lsu_mem_local_op_st","Counter","byte","# of bytes requested for local stores","1"
"l1tex__t_bytes_pipe_lsu_mem_local_op_st_lookup_hit","Counter","byte","# of bytes requested with tag-hit and data-hit for local stores","1"
"l1tex__t_bytes_pipe_lsu_mem_local_op_st_lookup_miss","Counter","byte","# of bytes requested that missed for local stores","1"
"l1tex__t_bytes_pipe_tex","Counter","byte","# of bytes requested for TEX pipe","1"
"l1tex__t_bytes_pipe_tex_lookup_hit","Counter","byte","# of bytes requested with tag-hit and data-hit for TEX pipe","1"
"l1tex__t_bytes_pipe_tex_lookup_miss","Counter","byte","# of bytes requested that missed for TEX pipe","1"
"l1tex__t_bytes_pipe_tex_mem_surface","Counter","byte","# of bytes requested for surface","1"
"l1tex__t_bytes_pipe_tex_mem_surface_lookup_hit","Counter","byte","# of bytes requested with tag-hit and data-hit for surface","1"
"l1tex__t_bytes_pipe_tex_mem_surface_lookup_miss","Counter","byte","# of bytes requested that missed for surface","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_atom","Counter","byte","# of bytes requested for surface atomics","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_atom_lookup_hit","Counter","byte","# of bytes requested with tag-hit and data-hit for surface atomics","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_atom_lookup_miss","Counter","byte","# of bytes requested that missed for surface atomics","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_ld","Counter","byte","# of bytes requested for surface loads","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_ld_lookup_hit","Counter","byte","# of bytes requested with tag-hit and data-hit for surface loads","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_ld_lookup_miss","Counter","byte","# of bytes requested that missed for surface loads","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_red","Counter","byte","# of bytes requested for surface reductions","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_red_lookup_hit","Counter","byte","# of bytes requested with tag-hit and data-hit for surface reductions","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_red_lookup_miss","Counter","byte","# of bytes requested that missed for surface reductions","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_st","Counter","byte","# of bytes requested for surface stores","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_st_lookup_hit","Counter","byte","# of bytes requested with tag-hit and data-hit for surface stores","1"
"l1tex__t_bytes_pipe_tex_mem_surface_op_st_lookup_miss","Counter","byte","# of bytes requested that missed for surface stores","1"
"l1tex__t_bytes_pipe_tex_mem_texture","Counter","byte","# of bytes requested for texture","1"
"l1tex__t_bytes_pipe_tex_mem_texture_lookup_hit","Counter","byte","# of bytes requested with tag-hit and data-hit for texture","1"
"l1tex__t_bytes_pipe_tex_mem_texture_lookup_miss","Counter","byte","# of bytes requested that missed for texture","1"
"l1tex__t_bytes_pipe_tex_mem_texture_op_ld","Counter","byte","# of bytes requested for TLD instructions","1"
"l1tex__t_bytes_pipe_tex_mem_texture_op_ld_lookup_hit","Counter","byte","# of bytes requested with tag-hit and data-hit for TLD instructions","1"
"l1tex__t_bytes_pipe_tex_mem_texture_op_ld_lookup_miss","Counter","byte","# of bytes requested that missed for TLD instructions","1"
"l1tex__t_bytes_pipe_tex_mem_texture_op_tex","Counter","byte","# of bytes requested for TEX instructions","1"
