"Metric name","Metric type","Metric unit","Metric description","NVIDIA GeForce RTX 3060 Laptop GPU"
"l1tex__t_bytes_pipe_tex_mem_texture_op_tex_lookup_hit","Counter","byte","# of bytes requested with tag-hit and data-hit for TEX instructions","1"
"l1tex__t_bytes_pipe_tex_mem_texture_op_tex_lookup_miss","Counter","byte","# of bytes requested that missed for TEX instructions","1"
"l1tex__t_output_wavefronts","Counter","","# of wavefronts sent to Data-Stage from T-Stage","1"
"l1tex__t_output_wavefronts_pipe_lsu","Counter","","# of wavefronts sent to Data-Stage from T-Stage for LSU pipe","1"
"l1tex__t_output_wavefronts_pipe_lsu_mem_global","Counter","","# of wavefronts sent to Data-Stage from T-Stage for global memory instructions","1"
"l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_atom","Counter","","# of wavefronts sent to Data-Stage from T-Stage for global atomics","1"
"l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_ld","Counter","","# of wavefronts sent to Data-Stage from T-Stage for global loads","1"
"l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_red","Counter","","# of wavefronts sent to Data-Stage from T-Stage for global reductions","1"
"l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_st","Counter","","# of wavefronts sent to Data-Stage from T-Stage for global stores","1"
"l1tex__t_output_wavefronts_pipe_lsu_mem_local","Counter","","# of wavefronts sent to Data-Stage from T-Stage for local memory instructions","1"
"l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_ld","Counter","","# of wavefronts sent to Data-Stage from T-Stage for local loads","1"
"l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_st","Counter","","# of wavefronts sent to Data-Stage from T-Stage for local stores","1"
"l1tex__t_output_wavefronts_pipe_tex","Counter","","# of wavefronts sent to Data-Stage from T-Stage for TEX pipe","1"
"l1tex__t_output_wavefronts_pipe_tex_mem_surface","Counter","","# of wavefronts sent to Data-Stage from T-Stage for surface instructions","1"
"l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_atom","Counter","","# of wavefronts sent to Data-Stage from T-Stage for surface atomics","1"
"l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_ld","Counter","","# of wavefronts sent to Data-Stage from T-Stage for surface loads","1"
"l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_red","Counter","","# of wavefronts sent to Data-Stage from T-Stage for surface reductions","1"
"l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_st","Counter","","# of wavefronts sent to Data-Stage from T-Stage for surface stores","1"
"l1tex__t_output_wavefronts_pipe_tex_mem_texture","Counter","","# of wavefronts sent to Data-Stage from T-Stage for texture instructions","1"
"l1tex__t_output_wavefronts_pipe_tex_realtime","Counter","","# of wavefronts sent to Data-Stage from T-Stage for texture and surface instructions","1"
"l1tex__t_output_wavefronts_realtime","Counter","","# of wavefronts sent to Data-Stage from T-Stage","1"
"l1tex__t_requests","Counter","","# of requests sent to T-Stage","1"
"l1tex__t_requests_pipe_lsu","Counter","","# of requests sent to T-Stage from the LSU instruction pipeline","1"
"l1tex__t_requests_pipe_lsu_mem_global_op_atom","Counter","","# of requests sent to T-Stage for global atomics","1"
"l1tex__t_requests_pipe_lsu_mem_global_op_ld","Counter","","# of requests sent to T-Stage for global loads","1"
"l1tex__t_requests_pipe_lsu_mem_global_op_red","Counter","","# of requests sent to T-Stage for global reductions","1"
"l1tex__t_requests_pipe_lsu_mem_global_op_st","Counter","","# of requests sent to T-Stage for global stores","1"
"l1tex__t_requests_pipe_lsu_mem_local_op_ld","Counter","","# of requests sent to T-Stage for local loads","1"
"l1tex__t_requests_pipe_lsu_mem_local_op_st","Counter","","# of requests sent to T-Stage for local stores","1"
"l1tex__t_requests_pipe_tex","Counter","","# of requests sent to T-Stage from the L1TEX X-Stage","1"
"l1tex__t_requests_pipe_tex_mem_surface","Counter","","# of requests sent to T-Stage from the L1TEX X-Stage for surfaces","1"
"l1tex__t_requests_pipe_tex_mem_surface_op_atom","Counter","","# of requests sent to T-Stage for surface atomics","1"
"l1tex__t_requests_pipe_tex_mem_surface_op_ld","Counter","","# of requests sent to T-Stage for surface loads","1"
"l1tex__t_requests_pipe_tex_mem_surface_op_red","Counter","","# of requests sent to T-Stage for surface reductions","1"
"l1tex__t_requests_pipe_tex_mem_surface_op_st","Counter","","# of requests sent to T-Stage for surface stores","1"
"l1tex__t_requests_pipe_tex_mem_texture","Counter","","# of requests sent to T-Stage from the L1TEX X-Stage for textures","1"
"l1tex__t_requests_pipe_tex_mem_texture_op_ld","Counter","","# of requests sent to T-Stage from the TEX pipe for TLD instructions","1"
"l1tex__t_requests_pipe_tex_mem_texture_op_tex","Counter","","# of requests sent to T-Stage from the TEX pipe for TEX instructions","1"
"l1tex__t_sector_hit_rate","Ratio","","# of sector hits per sector","1"
"l1tex__t_sector_pipe_lsu_hit_rate","Ratio","","# of sector hits for LSU pipe local/global per sector for LSU pipe local/global","1"
"l1tex__t_sector_pipe_lsu_mem_global_op_atom_hit_rate","Ratio","","# of sector hits for global atomics per sector for global atomics","1"
"l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate","Ratio","","# of sector hits for global loads per sector for global loads","1"
"l1tex__t_sector_pipe_lsu_mem_global_op_red_hit_rate","Ratio","","# of sector hits for global reductions per sector for global reductions","1"
"l1tex__t_sector_pipe_lsu_mem_global_op_st_hit_rate","Ratio","","# of sector hits for global stores per sector for global stores","1"
"l1tex__t_sector_pipe_lsu_mem_local_op_ld_hit_rate","Ratio","","# of sector hits for local loads per sector for local loads","1"
"l1tex__t_sector_pipe_lsu_mem_local_op_st_hit_rate","Ratio","","# of sector hits for local stores per sector for local stores","1"
"l1tex__t_sector_pipe_tex_hit_rate","Ratio","","# of sector hits for TEX pipe per sector for TEX pipe","1"
"l1tex__t_sector_pipe_tex_mem_surface_hit_rate","Ratio","","# of sector hits for surface per sector for surface","1"
"l1tex__t_sector_pipe_tex_mem_surface_op_atom_hit_rate","Ratio","","# of sector hits for surface atomics per sector for surface atomics","1"
"l1tex__t_sector_pipe_tex_mem_surface_op_ld_hit_rate","Ratio","","# of sector hits for surface loads per sector for surface loads","1"
"l1tex__t_sector_pipe_tex_mem_surface_op_red_hit_rate","Ratio","","# of sector hits for surface reductions per sector for surface reductions","1"
"l1tex__t_sector_pipe_tex_mem_surface_op_st_hit_rate","Ratio","","# of sector hits for surface stores per sector for surface stores","1"
"l1tex__t_sector_pipe_tex_mem_texture_hit_rate","Ratio","","# of sector hits for texture per sector for texture","1"
"l1tex__t_sector_pipe_tex_mem_texture_op_ld_hit_rate","Ratio","","# of sector hits for TLD instructions per sector for TLD instructions","1"
"l1tex__t_sector_pipe_tex_mem_texture_op_tex_hit_rate","Ratio","","# of sector hits for TEX instructions per sector for TEX instructions","1"
"l1tex__t_sectors","Counter","sector","# of sectors requested","1"
"l1tex__t_sectors_lookup_hit","Counter","sector","# of sector requests to T-Stage with tag-hit and data-hit","1"
"l1tex__t_sectors_lookup_miss","Counter","sector","# of sector requests to T-Stage that missed","1"
"l1tex__t_sectors_pipe_lsu","Counter","sector","# of sectors requested for LSU pipe local/global","1"
"l1tex__t_sectors_pipe_lsu_lookup_hit","Counter","sector","# of sector requests to T-Stage with tag-hit and data-hit for LSU pipe local/global","1"
"l1tex__t_sectors_pipe_lsu_lookup_miss","Counter","sector","# of sector requests to T-Stage that missed for LSU pipe local/global","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_atom","Counter","sector","# of sectors requested for global atomics","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit","Counter","sector","# of sector requests to T-Stage with tag-hit and data-hit for global atomics","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_atom_lookup_miss","Counter","sector","# of sector requests to T-Stage that missed for global atomics","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld","Counter","sector","# of sectors requested for global loads","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit","Counter","sector","# of sector requests to T-Stage with tag-hit and data-hit for global loads","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss","Counter","sector","# of sector requests to T-Stage that missed for global loads","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_red","Counter","sector","# of sectors requested for global reductions","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_red_lookup_hit","Counter","sector","# of sector requests to T-Stage with tag-hit and data-hit for global reductions","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_red_lookup_miss","Counter","sector","# of sector requests to T-Stage that missed for global reductions","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_st","Counter","sector","# of sectors requested for global stores","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_hit","Counter","sector","# of sector requests to T-Stage with tag-hit and data-hit for global stores","1"
"l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_miss","Counter","sector","# of sector requests to T-Stage that missed for global stores","1"
"l1tex__t_sectors_pipe_lsu_mem_local_op_ld","Counter","sector","# of sectors requested for local loads","1"
"l1tex__t_sectors_pipe_lsu_mem_local_op_ld_lookup_hit","Counter","sector","# of sector requests to T-Stage with tag-hit and data-hit for local loads","1"
"l1tex__t_sectors_pipe_lsu_mem_local_op_ld_lookup_miss","Counter","sector","# of sector requests to T-Stage that missed for local loads","1"
"l1tex__t_sectors_pipe_lsu_mem_local_op_st","Counter","sector","# of sectors requested for local stores","1"
"l1tex__t_sectors_pipe_lsu_mem_local_op_st_lookup_hit","Counter","sector","# of sector requests to T-Stage with tag-hit and data-hit for local stores","1"
"l1tex__t_sectors_pipe_lsu_mem_local_op_st_lookup_miss","Counter","sector","# of sector requests to T-Stage that missed for local stores","1"
"l1tex__t_sectors_pipe_tex","Counter","sector","# of sectors requested for TEX pipe","1"
"l1tex__t_sectors_pipe_tex_lookup_hit","Counter","sector","# of sector requests to T-Stage with tag-hit and data-hit for TEX pipe","1"
"l1tex__t_sectors_pipe_tex_lookup_miss","Counter","sector","# of sector requests to T-Stage that missed for TEX pipe","1"
"l1tex__t_sectors_pipe_tex_mem_surface","Counter","sector","# of sectors requested for surface","1"
"l1tex__t_sectors_pipe_tex_mem_surface_lookup_hit","Counter","sector","# of sector requests to T-Stage with tag-hit and data-hit for surface","1"
"l1tex__t_sectors_pipe_tex_mem_surface_lookup_miss","Counter","sector","# of sector requests to T-Stage that missed for surface","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_atom","Counter","sector","# of sectors requested for surface atomics","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_atom_lookup_hit","Counter","sector","# of sector requests to T-Stage with tag-hit and data-hit for surface atomics","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_atom_lookup_miss","Counter","sector","# of sector requests to T-Stage that missed for surface atomics","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_ld","Counter","sector","# of sectors requested for surface loads","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_ld_lookup_hit","Counter","sector","# of sector requests to T-Stage with tag-hit and data-hit for surface loads","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_ld_lookup_miss","Counter","sector","# of sector requests to T-Stage that missed for surface loads","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_red","Counter","sector","# of sectors requested for surface reductions","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_red_lookup_hit","Counter","sector","# of sector requests to T-Stage with tag-hit and data-hit for surface reductions","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_red_lookup_miss","Counter","sector","# of sector requests to T-Stage that missed for surface reductions","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_st","Counter","sector","# of sectors requested for surface stores","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_st_lookup_hit","Counter","sector","# of sector requests to T-Stage with tag-hit and data-hit for surface stores","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_st_lookup_miss","Counter","sector","# of sector requests to T-Stage that missed for surface stores","1"
"l1tex__t_sectors_pipe_tex_mem_texture","Counter","sector","# of sectors requested for texture","1"
"l1tex__t_sectors_pipe_tex_mem_texture_lookup_hit","Counter","sector","# of sector requests to T-Stage with tag-hit and data-hit for texture","1"
"l1tex__t_sectors_pipe_tex_mem_texture_lookup_miss","Counter","sector","# of sector requests to T-Stage that missed for texture","1"
"l1tex__t_sectors_pipe_tex_mem_texture_op_ld","Counter","sector","# of sectors requested for TLD instructions","1"
"l1tex__t_sectors_pipe_tex_mem_texture_op_ld_lookup_hit","Counter","sector","# of sector requests to T-Stage with tag-hit and data-hit for TLD instructions","1"
"l1tex__t_sectors_pipe_tex_mem_texture_op_ld_lookup_miss","Counter","sector","# of sector requests to T-Stage that missed for TLD instructions","1"
"l1tex__t_sectors_pipe_tex_mem_texture_op_tex","Counter","sector","# of sectors requested for TEX instructions","1"
"l1tex__t_sectors_pipe_tex_mem_texture_op_tex_lookup_hit","Counter","sector","# of sector requests to T-Stage with tag-hit and data-hit for TEX instructions","1"
"l1tex__t_sectors_pipe_tex_mem_texture_op_tex_lookup_miss","Counter","sector","# of sector requests to T-Stage that missed for TEX instructions","1"
"l1tex__t_set_accesses","Counter","","# of cache set accesses","1"
"l1tex__t_set_accesses_pipe_lsu","Counter","","# of cache set accesses for LSU pipe local/global","1"
"l1tex__t_set_accesses_pipe_lsu_mem_global_op_atom","Counter","","# of cache set accesses for global atomics","1"
"l1tex__t_set_accesses_pipe_lsu_mem_global_op_ld","Counter","","# of cache set accesses for global loads","1"
"l1tex__t_set_accesses_pipe_lsu_mem_global_op_red","Counter","","# of cache set accesses for global reductions","1"
"l1tex__t_set_accesses_pipe_lsu_mem_global_op_st","Counter","","# of cache set accesses for global stores","1"
"l1tex__t_set_accesses_pipe_lsu_mem_local_op_ld","Counter","","# of cache set accesses for local loads","1"
"l1tex__t_set_accesses_pipe_lsu_mem_local_op_st","Counter","","# of cache set accesses for local stores","1"
"l1tex__t_set_accesses_pipe_tex","Counter","","# of cache set accesses for TEX pipe","1"
"l1tex__t_set_accesses_pipe_tex_mem_surface","Counter","","# of cache set accesses for surface","1"
"l1tex__t_set_accesses_pipe_tex_mem_surface_op_atom","Counter","","# of cache set accesses for surface atomics","1"
"l1tex__t_set_accesses_pipe_tex_mem_surface_op_ld","Counter","","# of cache set accesses for surface loads","1"
"l1tex__t_set_accesses_pipe_tex_mem_surface_op_red","Counter","","# of cache set accesses for surface reductions","1"
"l1tex__t_set_accesses_pipe_tex_mem_surface_op_st","Counter","","# of cache set accesses for surface stores","1"
"l1tex__t_set_accesses_pipe_tex_mem_texture","Counter","","# of cache set accesses for texture","1"
"l1tex__t_set_accesses_pipe_tex_mem_texture_op_ld","Counter","","# of cache set accesses for TLD instructions","1"
"l1tex__t_set_accesses_pipe_tex_mem_texture_op_tex","Counter","","# of cache set accesses for TEX instructions","1"
